Production Line Tag,Manufactured Part Code,Shift Date,Gross Quantity Produced,Conforming Quality Qty,Unplanned Downtime Duration
LIN-CNC-02-4,PRD-BRK-220-4,2026-04-22,2389,2277,86 mins
LIN-WLD-02-7,PRD-CHS-010-7,2025-01-14,1096,1043,2.3 hrs
LIN-PNT-01-10,PRD-FLG-880-10,2026-02-23,2337,2233,1.5 hrs
LIN-CNC-01-9,PRD-VAL-101-9,2026-03-19,1748,1722,43 min
LIN-WLD-02-9,PRD-PLT-005-9,2025-12-29,1008,974,49 min
LIN-PRS-01-10,PRD-PLT-005-10,2024-09-27,2684,2557,12
LIN-PNT-01-4,PRD-FLG-880-4,2025-02-20,2928,2895,1.3 hrs
LIN-PNT-01,PRD-HSG-450,2025-04-23,1912,1843,2.4 hrs
LIN-WLD-02-10,PRD-CHS-010-10,2024-08-08,1018,995,29 min
LIN-EDR-01-8,PRD-STA-320-8,2025-06-30,1300,1248,21
LIN-CNC-02-2,PRD-BRK-220-2,2024-09-04,1952,1941,36 min
LIN-CNC-01-3,PRD-VAL-101-3,2025-10-11,369,360,11 min
LIN-CNC-02-6,PRD-FLG-880-6,2024-12-03,2758,2635,39 min
LIN-EDR-01-7,PRD-STA-320-7,2025-04-18,1262,1158,14
LIN-WLD-02-3,PRD-PLT-005-3,2025-03-30,248,244,24
LIN-CNC-01-3,PRD-VAL-101-3,2026-01-14,1959,1948,22 min
LIN-PNT-01-5,PRD-HSG-450-5,2024-12-16,2932,2884,26
LIN-CNC-02-3,PRD-BRK-220-3,2024-08-23,2285,2175,228
LIN-PRS-01-6,PRD-BRK-220-6,2024-10-26,779,750,2.1 hrs
LIN-EDR-02-3,PRD-MOT-500-3,2024-06-24,1034,1010,47 min
LIN-CNC-02-10,PRD-BRK-220-10,2025-07-16,1682,1668,16 min
LIN-WLD-01-5,PRD-CHS-010-5,2025-11-14,1070,1037,2 min
LIN-CNC-02-7,PRD-FLG-880-7,2026-06-08,2527,2453,11 min
LIN-CNC-01-5,PRD-FLG-880-5,2025-01-22,2402,2296,36 min
LIN-PNT-01-8,PRD-HSG-450-8,2025-02-18,2926,2883,7
LIN-CNC-02-2,PRD-FLG-880-2,2024-07-24,1750,1704,39 min
LIN-CNC-02,PRD-FLG-880,2025-12-08,2310,2299,26
LIN-EDR-01-9,PRD-STA-320-9,2025-12-19,1031,988,45 min
LIN-EDR-02-4,PRD-MOT-500-4,2024-12-24,1102,1084,75 mins
LIN-CNC-01-4,PRD-VAL-101-4,2024-08-29,1847,1654,29 min
LIN-CNC-01-2,PRD-VAL-101-2,2025-10-14,2129,2067,40 min
LIN-EDR-01-10,PRD-STA-320-10,2026-01-11,454,441,14 min
LIN-PRS-01-7,PRD-BRK-220-7,2024-11-01,2106,1984,2.1 hrs
LIN-WLD-02-7,,2025-01-24,,,Line Maintenance
LIN-WLD-02-5,PRD-PLT-005-5,2026-05-06,1049,1019,39 min
LIN-WLD-01-10,PRD-CHS-010-10,2026-03-20,967,895,71 mins
LIN-CNC-02-10,PRD-FLG-880-10,2024-11-08,2239,2224,0
LIN-EDR-01,PRD-STA-320,2026-01-10,342,340,11 min
LIN-CNC-01-9,PRD-FLG-880-9,2024-01-09,1923,1903,11 min
LIN-WLD-02-5,PRD-PLT-005-5,2025-12-16,781,754,15
LIN-CNC-01-3,PRD-VAL-101-3,2025-09-18,1900,1854,31
LIN-EDR-02,PRD-MOT-500,2024-11-12,1701,1657,110 mins
LIN-EDR-01-6,PRD-STA-320-6,2025-09-17,1206,1164,59
LIN-CNC-01-5,PRD-VAL-101-5,2025-08-05,2272,2128,26
LIN-EDR-02-5,PRD-MOT-500-5,2024-05-15,1683,1603,4
LIN-PNT-01-3,PRD-FLG-880-3,2024-07-11,3061,2782,11 min
LIN-PNT-01,PRD-HSG-450,2024-11-01,2335,2273,34 min
LIN-CNC-02,PRD-FLG-880,2024-01-24,1762,1613,41
LIN-WLD-01-4,PRD-CHS-010-4,2024-11-06,1034,1001,35 min
LIN-CNC-02-5,PRD-BRK-220-5,2025-07-11,2626,2545,96 mins
LIN-CNC-02-5,PRD-FLG-880-5,2024-06-05,1779,1633,13 min
LIN-CNC-01-8,PRD-VAL-101-8,2025-04-29,2155,1984,54
LIN-WLD-02,PRD-PLT-005,2025-01-02,764,724,184
LIN-CNC-01,PRD-FLG-880,2026-05-06,1847,1786,13
LIN-CNC-01-4,PRD-VAL-101-4,2025-04-14,2220,2187,41
LIN-CNC-02-5,PRD-FLG-880-5,2025-10-02,2620,2608,58 min
LIN-CNC-02-6,PRD-FLG-880-6,2024-07-04,2191,2069,5 min
LIN-WLD-02-8,PRD-CHS-010-8,2025-11-17,917,906,32
LIN-WLD-02-7,PRD-CHS-010-7,2025-04-18,1002,915,5
LIN-WLD-01-3,PRD-CHS-010-3,2026-04-23,1239,1201,78 mins
LIN-CNC-02-7,PRD-BRK-220-7,2024-03-13,1801,1644,3
LIN-PRS-01-3,PRD-PLT-005-3,2024-09-30,3300,3294,23 min
LIN-PRS-01-9,PRD-BRK-220-9,2024-01-10,3078,3008,44 min
LIN-PRS-01-10,PRD-BRK-220-10,2026-02-12,3067,3040,None
LIN-WLD-02-3,PRD-PLT-005-3,2024-09-30,1173,1146,53 min
LIN-CNC-02-2,PRD-BRK-220-2,2024-05-04,892,855,30
LIN-PNT-01-10,PRD-HSG-450-10,2025-08-27,3235,3134,54 min
LIN-CNC-02,,2024-09-02,,,Line Maintenance
LIN-EDR-02-4,PRD-MOT-500-4,2025-04-02,1036,1023,2.0 hrs
LIN-CNC-02,PRD-BRK-220,2024-06-07,2230,2178,23
LIN-PNT-01-10,PRD-FLG-880-10,2025-06-19,3673,3659,206
LIN-CNC-01-7,PRD-FLG-880-7,2025-01-23,1527,1479,31
LIN-EDR-02-4,PRD-MOT-500-4,2025-12-05,1547,1464,1.1 hrs
LIN-WLD-02-6,PRD-PLT-005-6,2024-11-08,1088,1027,39
LIN-WLD-02-3,PRD-CHS-010-3,2024-06-09,414,388,29 min
LIN-WLD-02-2,PRD-PLT-005-2,2025-07-29,877,873,112
LIN-CNC-01-8,PRD-FLG-880-8,2025-11-19,1969,1883,5 min
LIN-CNC-01-9,PRD-FLG-880-9,2024-04-22,1534,1513,114
LIN-EDR-01,PRD-STA-320,2026-01-26,1365,1348,1
LIN-CNC-02-3,PRD-FLG-880-3,2025-06-23,2419,2271,21 min
LIN-WLD-02-3,PRD-CHS-010-3,2025-11-27,909,878,None
LIN-WLD-02-4,PRD-CHS-010-4,2024-02-22,805,783,57
LIN-EDR-01-5,PRD-STA-320-5,2024-01-02,1354,1328,30
LIN-CNC-02-10,PRD-FLG-880-10,2025-09-11,1730,1709,9
LIN-WLD-01-7,PRD-CHS-010-7,2024-03-15,1021,995,1.0 hrs
LIN-WLD-02-5,PRD-PLT-005-5,2024-12-19,894,848,64
LIN-EDR-02-10,PRD-MOT-500-10,2025-05-25,506,492,15
LIN-PNT-01-3,PRD-HSG-450-3,2025-06-27,3504,3378,37
LIN-PRS-01-2,PRD-PLT-005-2,2024-02-05,2976,2533,47
LIN-PRS-01-8,PRD-BRK-220-8,2025-06-17,2679,2597,1
LIN-CNC-01-4,PRD-VAL-101-4,2024-08-02,2090,2054,-
LIN-PNT-01-6,PRD-FLG-880-6,2025-03-14,2271,2219,73
LIN-CNC-01-7,PRD-VAL-101-7,2026-01-08,1538,1511,127 mins
LIN-EDR-02-3,PRD-MOT-500-3,2024-11-21,1335,1297,1.9 hrs
LIN-EDR-02-2,PRD-MOT-500-2,2024-11-29,1672,1598,4
LIN-PNT-01-7,PRD-HSG-450-7,2025-09-19,3020,3008,147
LIN-CNC-01-8,PRD-FLG-880-8,2024-07-25,1873,1784,38
LIN-CNC-02-10,PRD-BRK-220-10,2026-04-28,2203,2102,9
LIN-CNC-02-2,PRD-FLG-880-2,2026-06-08,2113,1977,36
LIN-PRS-01-6,PRD-PLT-005-6,2025-11-18,3725,3551,4.2 hrs
LIN-EDR-02-4,PRD-MOT-500-4,2024-01-15,1200,1185,8
LIN-CNC-01-8,PRD-FLG-880-8,2026-03-18,2001,1904,1 min
LIN-WLD-02-3,PRD-PLT-005-3,2025-05-08,967,951,1 min
LIN-CNC-01-8,PRD-VAL-101-8,2024-04-19,2122,2104,14
LIN-CNC-01-5,PRD-VAL-101-5,2024-09-13,1802,1702,39
LIN-CNC-02-2,PRD-FLG-880-2,2024-01-16,2418,2282,23
LIN-PRS-01-5,PRD-BRK-220-5,2025-12-01,3553,3406,123 mins
LIN-EDR-01-2,PRD-STA-320-2,2024-09-01,432,418,126
LIN-PNT-01-9,PRD-FLG-880-9,2025-03-07,3058,2911,7
LIN-EDR-01-4,PRD-STA-320-4,2024-07-10,1243,1180,17
LIN-PRS-01,PRD-PLT-005,2026-01-03,1104,1037,2
LIN-EDR-01,PRD-STA-320,2025-09-10,1593,1462,119 mins
LIN-CNC-02-8,PRD-FLG-880-8,2024-06-01,893,805,17 min
LIN-WLD-02-4,PRD-CHS-010-4,2025-07-18,1400,1323,17
LIN-EDR-01-6,PRD-STA-320-6,2025-07-08,1450,1342,22
LIN-PRS-01-3,PRD-BRK-220-3,2024-05-26,1054,1035,4.5 hrs
LIN-PNT-01-3,PRD-HSG-450-3,2025-11-09,853,808,2 min
LIN-WLD-02-4,PRD-PLT-005-4,2025-12-10,1015,959,2
LIN-EDR-02,PRD-MOT-500,2026-01-21,1413,1322,114
LIN-EDR-02-6,PRD-MOT-500-6,2024-05-16,1298,1271,23
LIN-PRS-01-9,PRD-PLT-005-9,2024-10-18,3727,3536,1 min
LIN-PRS-01-9,PRD-BRK-220-9,2025-06-12,2985,2895,7
LIN-EDR-01-6,PRD-STA-320-6,2025-03-26,1599,1496,25 min
LIN-PNT-01-8,PRD-HSG-450-8,2024-11-25,3155,2956,2.2 hrs
LIN-WLD-02,PRD-CHS-010,2025-01-22,1095,1031,19 min
LIN-CNC-02-6,PRD-BRK-220-6,2025-04-23,2333,2302,39
LIN-CNC-01-10,PRD-FLG-880-10,2026-03-31,1781,1756,12
LIN-WLD-01-10,PRD-CHS-010-10,2026-01-20,947,905,69
LIN-PNT-01-3,PRD-HSG-450-3,2025-06-11,2435,2396,55
LIN-PRS-01-4,PRD-BRK-220-4,2024-10-09,3156,3094,8
LIN-WLD-02-10,PRD-CHS-010-10,2025-09-29,1313,1240,31
LIN-EDR-01,PRD-STA-320,2025-04-09,1207,1199,1
LIN-CNC-01-10,PRD-VAL-101-10,2024-10-07,1330,1298,26
LIN-CNC-02-5,PRD-BRK-220-5,2024-10-18,3017,2960,11 min
LIN-CNC-01-9,PRD-VAL-101-9,2024-09-18,2301,2289,133 mins
LIN-PNT-01-4,PRD-HSG-450-4,2024-05-11,701,676,9
LIN-PRS-01-5,PRD-BRK-220-5,2025-11-01,1018,991,14 min
LIN-CNC-01-4,PRD-FLG-880-4,2025-05-26,1666,1577,53 min
LIN-WLD-01-8,PRD-CHS-010-8,2025-08-11,851,836,161 mins
LIN-CNC-02-8,PRD-FLG-880-8,2026-01-15,2400,2302,27
LIN-CNC-01-5,PRD-FLG-880-5,2025-11-05,1524,1401,77
LIN-CNC-02-8,PRD-BRK-220-8,2024-02-28,2540,2488,None
LIN-PNT-01,PRD-HSG-450,2026-01-07,2742,2711,54 min
LIN-CNC-01-6,PRD-FLG-880-6,2026-05-15,1896,1851,16 min
LIN-EDR-02-7,PRD-MOT-500-7,2025-02-07,1021,984,120 mins
LIN-WLD-01-3,PRD-CHS-010-3,2025-08-22,1028,1016,50
LIN-PNT-01-5,PRD-HSG-450-5,2025-10-22,2755,2711,1.1 hrs
LIN-EDR-01-9,PRD-STA-320-9,2024-11-01,1350,1332,5
LIN-EDR-02-3,PRD-MOT-500-3,2026-05-04,1376,1318,5 min
LIN-CNC-02-9,PRD-FLG-880-9,2025-01-28,2617,2514,21
LIN-EDR-01-7,PRD-STA-320-7,2025-12-11,1425,1382,10 min
LIN-WLD-01-6,PRD-CHS-010-6,2025-05-06,1189,1112,3.5 hrs
LIN-WLD-02-7,PRD-PLT-005-7,2025-12-10,1380,1316,30 min
LIN-WLD-02-8,PRD-CHS-010-8,2025-06-06,1067,972,19 min
LIN-EDR-01-7,PRD-STA-320-7,2024-09-30,1636,1531,36
LIN-CNC-01-10,PRD-FLG-880-10,2025-07-02,1654,1554,70 mins
LIN-CNC-02-8,PRD-FLG-880-8,2025-12-09,2119,2032,97 mins
LIN-CNC-02-6,PRD-BRK-220-6,2025-11-21,1840,1803,3 min
LIN-EDR-02-6,PRD-MOT-500-6,2024-07-10,1011,990,8
LIN-PRS-01-4,PRD-PLT-005-4,2025-05-27,3902,3748,71
LIN-WLD-02-10,PRD-CHS-010-10,2024-01-25,1157,1150,1
LIN-WLD-02-7,PRD-PLT-005-7,2026-03-04,1111,1103,33
LIN-CNC-01-4,PRD-FLG-880-4,2024-01-09,1696,1672,2.3 hrs
LIN-EDR-01-8,PRD-STA-320-8,2026-02-02,1388,1345,25
LIN-CNC-01-8,PRD-VAL-101-8,2024-02-27,2090,1925,18
LIN-PRS-01-8,PRD-BRK-220-8,2025-11-10,2875,2728,13 min
LIN-PNT-01-8,PRD-FLG-880-8,2024-01-12,3328,3150,17
LIN-CNC-01-6,PRD-VAL-101-6,2024-10-15,1981,1909,34 min
LIN-PNT-01-10,PRD-HSG-450-10,2024-03-26,3023,2950,9
LIN-EDR-01-9,PRD-STA-320-9,2024-03-11,1267,1243,38 min
LIN-PNT-01-4,PRD-HSG-450-4,2026-04-02,3082,3007,145 mins
LIN-PRS-01-10,PRD-PLT-005-10,2026-02-23,2890,2599,3.1 hrs
LIN-WLD-02-7,PRD-CHS-010-7,2024-11-06,1017,961,26 min
LIN-PNT-01,PRD-FLG-880,2025-03-06,3121,3007,33
LIN-WLD-02-2,PRD-PLT-005-2,2026-04-20,1124,1043,5
LIN-WLD-02-7,PRD-PLT-005-7,2024-05-29,1351,1321,251
LIN-CNC-02-3,PRD-BRK-220-3,2026-03-13,2216,2073,2
LIN-CNC-01-8,PRD-VAL-101-8,2026-01-06,1880,1841,47
LIN-PRS-01-6,PRD-PLT-005-6,2024-12-14,941,916,7
LIN-EDR-01-9,PRD-STA-320-9,2024-11-28,953,933,31
LIN-CNC-02-6,PRD-FLG-880-6,2025-06-12,2465,2397,81 mins
LIN-CNC-01,PRD-VAL-101,2025-02-18,2401,2354,4.6 hrs
LIN-CNC-02-2,PRD-BRK-220-2,2025-05-05,2200,2161,23 min
LIN-WLD-01,PRD-CHS-010,2024-05-29,729,705,12 min
LIN-CNC-02-3,PRD-FLG-880-3,2025-02-17,1693,1535,34 min
LIN-WLD-02,PRD-PLT-005,2025-04-15,944,882,206
LIN-CNC-02-2,PRD-BRK-220-2,2025-03-11,2215,2180,95
LIN-WLD-02-5,PRD-PLT-005-5,2025-08-12,1062,1032,43 min
LIN-PRS-01-6,PRD-PLT-005-6,2025-12-26,3598,3519,33 min
LIN-CNC-02-8,PRD-FLG-880-8,2026-01-29,2177,2156,4 min
LIN-WLD-02-6,PRD-CHS-010-6,2026-02-13,1177,1070,19
LIN-WLD-02-2,PRD-CHS-010-2,2025-07-18,1205,1187,39 min
LIN-CNC-01-8,PRD-VAL-101-8,2025-08-07,1879,1780,109
LIN-WLD-02-3,PRD-PLT-005-3,2026-06-13,301,291,19
LIN-CNC-02-9,PRD-BRK-220-9,2026-04-28,2803,2768,7 min
LIN-CNC-02-6,PRD-FLG-880-6,2025-02-25,2319,2144,18 min
LIN-WLD-01-10,PRD-CHS-010-10,2025-04-21,671,641,110
LIN-PRS-01-3,PRD-PLT-005-3,2025-04-29,2718,2684,None
LIN-CNC-01-5,PRD-FLG-880-5,2025-06-06,1408,1372,28
LIN-EDR-01-10,PRD-STA-320-10,2025-07-10,1560,1531,10
LIN-CNC-02-8,PRD-FLG-880-8,2024-03-10,578,551,28
LIN-PRS-01-5,PRD-BRK-220-5,2024-12-13,2269,2060,82 mins
LIN-EDR-02-10,PRD-MOT-500-10,2024-02-27,1405,1323,109 mins
LIN-CNC-02-4,PRD-BRK-220-4,2024-10-31,2219,1973,82 mins
LIN-EDR-01-5,PRD-STA-320-5,2024-04-04,951,943,27 min
LIN-CNC-02,PRD-BRK-220,2026-06-30,2297,2223,102
LIN-PRS-01-5,PRD-PLT-005-5,2024-10-17,4131,4034,8 min
LIN-WLD-02-6,PRD-PLT-005-6,2024-06-23,307,304,1.1 hrs
LIN-CNC-02-6,PRD-FLG-880-6,2024-05-15,2089,2040,30
LIN-CNC-02-4,PRD-FLG-880-4,2024-02-08,2115,2038,47 min
LIN-WLD-01,PRD-CHS-010,2024-07-29,828,790,13 min
LIN-EDR-01-4,PRD-STA-320-4,2025-10-23,1429,1366,51 min
LIN-PRS-01-9,PRD-PLT-005-9,2024-05-22,3317,3220,130 mins
LIN-PNT-01-2,PRD-HSG-450-2,2026-01-14,1987,1915,12
LIN-CNC-01-7,PRD-FLG-880-7,2025-07-23,1464,1460,16
LIN-EDR-01-7,PRD-STA-320-7,2025-01-07,1355,1264,74
LIN-CNC-02-7,PRD-BRK-220-7,2025-10-03,3033,2975,10 min
LIN-CNC-01-8,PRD-FLG-880-8,2024-08-13,2333,2283,2
LIN-CNC-01,PRD-VAL-101,2024-10-12,670,658,28 min
LIN-WLD-02-10,PRD-CHS-010-10,2024-12-24,1254,1214,12
LIN-CNC-02-4,PRD-BRK-220-4,2025-10-08,2034,1944,5 min
LIN-WLD-02-3,PRD-CHS-010-3,2026-06-08,1216,1199,49 min
LIN-PNT-01-3,PRD-HSG-450-3,2024-01-11,3604,3427,38 min
LIN-CNC-01-7,PRD-FLG-880-7,2025-03-31,1359,1325,32
LIN-PRS-01-7,PRD-BRK-220-7,2025-01-02,2293,2193,2.2 hrs
LIN-CNC-02-5,PRD-FLG-880-5,2025-01-27,2363,2321,36
LIN-EDR-01-7,PRD-STA-320-7,2026-06-11,1265,1251,33
LIN-CNC-02-3,PRD-FLG-880-3,2024-03-25,3232,3156,36 min
LIN-EDR-02-7,PRD-MOT-500-7,2025-02-06,1546,1490,1.1 hrs
LIN-CNC-02-8,PRD-BRK-220-8,2024-09-03,2549,2507,16 min
LIN-WLD-01,PRD-CHS-010,2026-05-11,1015,977,12
LIN-WLD-02-3,PRD-PLT-005-3,2025-04-24,851,806,152 mins
LIN-WLD-02-3,PRD-PLT-005-3,2026-04-29,903,867,18 min
LIN-CNC-01-10,PRD-VAL-101-10,2024-03-11,1465,1445,36
